# Ts (uS), Vi, Vo
32234840,0.01,0.01
32235591,0.01,0.01
32236346,0.01,0.02
32237100,0.01,0.01
32237851,0.01,0.01
32238606,0.01,0.02
32239356,0.01,0.02
32240107,0.01,0.01
32240859,0.01,0.01
32241611,0.01,0.01
32242363,0.01,0.01
32243118,0.02,0.01
32243868,0.02,0.01
32244622,0.01,0.02
32245374,0.01,0.01
32246128,0.01,0.01
32246879,0.01,0.02
32247632,0.01,0.01
32248383,0.01,0.01
32249134,0.02,0.01
32249884,0.01,0.01
32250638,0.01,0.01
32251391,3.29,0.42
32252143,3.30,0.67
32252896,3.29,0.75
32253647,3.30,0.79
32254401,3.29,0.81
32255153,3.29,0.82
32255906,3.30,0.81
32256658,3.29,0.83
32257411,3.29,0.83
32258164,3.29,0.83
32258914,3.29,0.83
32259665,3.29,0.83
32260421,3.29,0.83
32261172,3.29,0.83
32261922,3.30,0.83
32262674,3.29,0.83
32263427,3.29,0.83
32264179,3.29,0.84
32264933,3.29,0.83
32265686,3.29,0.83
32266436,3.29,0.83
32267187,3.30,0.83
32267940,3.29,0.83
32268693,3.29,0.83
32269447,3.29,0.83
32270198,3.29,0.83
32270952,3.29,0.83
32271703,3.29,0.82
32272453,3.29,0.83
32273208,3.30,0.83
32273960,3.30,0.83
32274710,3.29,0.83
32275463,3.30,0.83
32276213,0.01,0.51
32276966,0.01,0.23
32277716,0.01,0.11
32278469,0.01,0.06
32279222,0.01,0.03
32279973,0.01,0.03
32280727,0.01,0.02
32281481,0.01,0.02
32282234,0.01,0.02
32282988,0.01,0.01
32283743,0.01,0.02
32284497,0.02,0.01
32285249,0.01,0.01
32286003,0.01,0.01
32286757,0.01,0.01
32287512,0.01,0.01
32288263,0.01,0.01
32289013,0.01,0.02
32289763,0.01,0.01
32290517,0.01,0.01
32291269,0.01,0.02
32292020,0.01,0.01
32292773,0.01,0.01
32293526,0.01,0.01
32294277,0.01,0.01
32295030,0.01,0.01
32295784,0.01,0.01
32296539,0.01,0.01
32297290,0.01,0.01
32298040,0.01,0.02
32298790,0.01,0.02
32299543,0.01,0.01
32300293,0.02,0.01
32301046,0.01,0.01
32301798,3.29,0.40
32302551,3.29,0.65
32303304,3.30,0.75
32304057,3.29,0.79
32304810,3.29,0.81
32305564,3.29,0.82
32306315,3.30,0.83
32307070,3.30,0.83
32307822,3.30,0.83
32308572,3.30,0.83
32309326,3.30,0.83
32310076,3.30,0.84
32310830,3.30,0.83
32311583,3.29,0.83
32312335,3.29,0.83
32313086,3.29,0.83
32313838,3.29,0.83
32314588,3.29,0.84
32315338,3.30,0.83
32316092,3.29,0.83
32316843,3.29,0.83
32317596,3.30,0.83
32318349,3.30,0.83
32319100,3.30,0.84
32319854,3.30,0.83
32320606,3.29,0.83
32321359,3.29,0.83
32322113,3.30,0.84
32322863,3.30,0.83
32323617,3.30,0.83
32324367,3.30,0.83
32325120,3.29,0.84
32325870,3.30,0.83
32326620,0.01,0.54
32327372,0.01,0.23
32328124,0.01,0.11
32328876,0.01,0.05
32329628,0.01,0.04
32330381,0.01,0.02
32331131,0.01,0.02
32331882,0.01,0.02
32332634,0.01,0.02
32333387,0.01,0.01
32334139,0.01,0.02
32334892,0.01,0.01
32335645,0.01,0.01
32336398,0.01,0.01
32337148,0.01,0.01
32337902,0.01,0.01
32338656,0.01,0.01
32339410,0.01,0.01
32340160,0.01,0.01
32340910,0.01,0.01
32341664,0.01,0.01
32342415,0.02,0.01
32343165,0.01,0.01
32343916,0.01,0.01
32344668,0.01,0.01
32345421,0.02,0.01
32346172,0.01,0.02
32346922,0.01,0.01
32347676,0.02,0.01
32348433,0.01,0.01
32349187,0.01,0.01
32349939,0.01,0.01
32350692,0.01,0.01
32351445,0.01,0.01
32352198,3.30,0.43
32352949,3.30,0.65
32353924,3.29,0.80
32355660,3.30,0.83
32357344,3.30,0.83
32359169,3.30,0.84
32362959,3.30,0.84
32367475,3.30,0.84
32369695,3.30,0.84
32371585,3.30,0.84
32373221,3.30,0.83
32373975,3.30,0.83
32374857,3.29,0.84
32376448,3.29,0.84
